Customer ID,last_purchase,frequency,monetary,recency,R_score,F_score,M_score,RFM_score,segment
12399,2010-11-19 08:53:00,3,853.65,21,3,3,3,333,Champion
12400,2010-10-21 13:45:00,1,205.25,50,3,1,1,311,New Customer
12402,2010-11-12 09:50:00,5,1031.3,28,3,3,3,333,Champion
12403,2010-07-06 11:39:00,1,591.6600000000001,157,1,1,2,112,Lost
12404,2010-01-26 16:25:00,1,63.24,318,1,1,1,111,Lost
12406,2010-11-05 11:42:00,3,2975.06,35,3,3,4,334,Champion
12408,2010-11-19 13:21:00,3,1452.22,21,3,3,3,333,Champion
12409,2010-10-15 10:24:00,4,12346.62,56,2,3,4,234,Potential Loyalist
12410,2010-07-25 13:26:00,1,320.38,138,1,1,2,112,Lost
12411,2010-10-26 09:25:00,1,346.9,45,3,1,2,312,New Customer
12412,2010-11-02 17:02:00,3,1370.05,38,3,3,3,333,Champion
12413,2010-11-02 13:26:00,1,241.35,38,3,1,1,311,New Customer
12414,2010-09-02 13:47:00,3,390.0,99,2,3,2,232,Potential Loyalist
12415,2010-11-29 15:07:00,7,19543.84,11,4,4,4,444,Champion
12416,2010-02-21 10:19:00,1,202.56,292,1,1,1,111,Lost
12417,2010-10-25 14:27:00,11,3167.81,46,3,4,4,344,Champion
12418,2010-10-22 10:29:00,3,1352.62,49,3,3,3,333,Champion
12419,2010-11-19 10:04:00,2,503.01,21,3,2,2,322,Loyal
12421,2010-10-20 14:28:00,2,291.56,51,3,2,1,321,Loyal
12422,2010-11-10 13:19:00,14,4428.24,30,3,4,4,344,Champion
12423,2010-11-17 11:33:00,2,763.08,23,3,2,3,323,Loyal
12424,2010-10-13 10:29:00,2,1579.07,58,2,2,3,223,Potential Loyalist
12425,2010-09-17 14:10:00,1,964.21,84,2,1,3,213,At Risk
12426,2010-02-15 08:41:00,1,762.48,298,1,1,3,113,Lost
12427,2010-12-03 10:44:00,1,303.5,7,4,1,1,411,New Customer
12429,2010-12-09 12:05:00,5,3735.51,1,4,3,4,434,Champion
12431,2010-12-01 10:03:00,13,4370.52,9,4,4,4,444,Champion
12433,2010-12-08 16:49:00,5,7205.39,2,4,3,4,434,Champion
12434,2010-11-23 13:38:00,1,297.29,17,4,1,1,411,New Customer
12435,2010-11-08 10:07:00,4,6096.04,32,3,3,4,334,Champion
12437,2010-11-09 14:46:00,21,7731.99,31,3,4,4,344,Champion
12439,2010-01-26 12:11:00,2,1158.18,318,1,2,3,123,Lost
12440,2010-09-03 13:11:00,2,859.2,98,2,2,3,223,Potential Loyalist
12441,2010-12-08 10:45:00,1,173.55,2,4,1,1,411,New Customer
12443,2009-12-07 15:42:00,1,485.31,368,1,1,2,112,Lost
12445,2010-10-15 12:28:00,1,301.58000000000004,56,2,1,1,211,At Risk
12449,2010-10-25 12:21:00,2,768.6,46,3,2,3,323,Loyal
12450,2010-11-05 16:27:00,3,490.32,35,3,3,2,332,Loyal
12451,2010-09-02 15:38:00,3,3634.36,99,2,3,4,234,Potential Loyalist
12454,2010-11-09 10:09:00,4,13151.44,31,3,3,4,334,Champion
12455,2010-09-20 14:39:00,4,3413.09,81,2,3,4,234,Potential Loyalist
12457,2010-09-30 17:59:00,1,632.68,71,2,1,2,212,At Risk
12458,2010-10-08 11:36:00,2,830.09,63,2,2,3,223,Potential Loyalist
12459,2010-04-13 14:53:00,1,454.36,241,1,1,2,112,Lost
12460,2010-09-09 13:51:00,1,326.65,92,2,1,2,212,At Risk
12466,2010-01-26 16:26:00,1,56.73,318,1,1,1,111,Lost
12467,2010-10-12 15:41:00,1,132.8,59,2,1,1,211,At Risk
12468,2010-07-01 10:28:00,3,2941.2,162,1,3,4,134,Lost
12469,2010-07-05 12:40:00,2,3070.54,158,1,2,4,124,Lost
12470,2010-01-19 11:01:00,1,211.95,325,1,1,1,111,Lost
12471,2010-11-30 14:35:00,49,20139.74,10,4,4,4,444,Champion
12472,2010-12-05 14:19:00,13,11308.48,5,4,4,4,444,Champion
12474,2010-11-26 12:19:00,13,5048.66,14,4,4,4,444,Champion
12475,2010-10-26 08:49:00,1,426.26,45,3,1,2,312,New Customer
12476,2010-11-08 09:35:00,12,7298.99,32,3,4,4,344,Champion
12477,2010-11-05 09:35:00,3,7056.63,35,3,3,4,334,Champion
12480,2010-11-05 15:08:00,3,2183.2200000000003,35,3,3,4,334,Champion
12481,2010-12-09 10:13:00,6,6765.07,1,4,4,4,444,Champion
12482,2010-05-12 16:51:00,29,23691.4,212,1,4,4,144,Lost
12483,2010-11-26 12:35:00,11,2635.6,14,4,4,4,444,Champion
12484,2010-08-13 13:45:00,6,1828.43,119,2,4,4,244,Potential Loyalist
12485,2010-06-28 15:22:00,1,708.1,165,1,1,3,113,Lost
12486,2010-10-04 12:14:00,1,1037.28,67,2,1,3,213,At Risk
12487,2009-12-09 11:36:00,1,285.3,366,1,1,1,111,Lost
12490,2010-11-26 14:16:00,11,4405.71,14,4,4,4,444,Champion
12492,2010-11-01 14:58:00,1,452.0,39,3,1,2,312,New Customer
12494,2010-12-09 11:31:00,3,626.77,1,4,3,2,432,Loyal
12495,2010-03-09 10:53:00,1,357.4,276,1,1,2,112,Lost
12496,2010-03-29 14:06:00,2,54.09,256,1,2,1,121,Lost
12497,2010-11-04 12:31:00,2,5205.400000000001,36,3,2,4,324,Loyal
12499,2010-05-28 15:12:00,1,393.71999999999997,196,1,1,2,112,Lost
12500,2010-09-30 18:45:00,8,1697.39,71,2,4,3,243,Potential Loyalist
12503,2010-05-04 13:59:00,1,1126.0,220,1,1,3,113,Lost
12504,2010-10-18 15:09:00,2,297.0,53,3,2,1,321,Loyal
12505,2010-10-27 09:18:00,1,955.2,44,3,1,3,313,New Customer
12507,2010-05-04 09:23:00,1,539.25,220,1,1,2,112,Lost
12510,2010-09-06 14:27:00,7,4195.45,95,2,4,4,244,Potential Loyalist
12511,2010-10-07 10:39:00,1,3084.02,64,2,1,4,214,At Risk
12514,2010-03-08 12:18:00,1,580.08,277,1,1,2,112,Lost
12516,2010-10-05 09:43:00,2,1336.56,66,2,2,3,223,Potential Loyalist
12519,2010-08-20 08:21:00,1,385.7,112,2,1,2,212,At Risk
12523,2010-11-30 12:31:00,12,2582.38,10,4,4,4,444,Champion
12524,2010-11-16 09:08:00,9,6640.39,24,3,4,4,344,Champion
12525,2010-07-29 16:08:00,3,973.73,134,2,3,3,233,Potential Loyalist
12527,2010-08-02 12:23:00,2,386.8,130,2,2,2,222,Potential Loyalist
12529,2010-06-29 13:10:00,1,316.48,164,1,1,2,112,Lost
12530,2010-10-20 15:15:00,5,2096.98,51,3,3,4,334,Champion
12531,2010-01-22 14:17:00,1,1807.98,322,1,1,4,114,Lost
12533,2010-03-22 10:56:00,2,1367.89,263,1,2,3,123,Lost
12537,2010-10-27 08:36:00,1,732.94,44,3,1,3,313,New Customer
12538,2010-11-26 13:02:00,1,276.5,14,4,1,1,411,New Customer
12539,2010-09-15 09:50:00,3,5646.400000000001,86,2,3,4,234,Potential Loyalist
12540,2010-11-26 10:43:00,16,8854.25,14,4,4,4,444,Champion
12542,2010-08-12 19:12:00,2,481.88,120,2,2,2,222,Potential Loyalist
12543,2010-09-17 15:51:00,1,980.25,84,2,1,3,213,At Risk
12547,2010-07-27 13:55:00,1,175.78,136,2,1,1,211,At Risk
12549,2010-05-13 12:05:00,6,1575.68,211,1,4,3,143,Lost
12553,2010-11-19 12:18:00,2,916.47,21,3,2,3,323,Loyal
12554,2010-09-17 12:29:00,1,468.5,84,2,1,2,212,At Risk
12555,2010-01-26 16:26:00,1,129.23,318,1,1,1,111,Lost
12557,2010-12-03 12:20:00,4,6725.18,7,4,3,4,434,Champion
12562,2010-11-19 09:35:00,2,1185.18,21,3,2,3,323,Loyal
12563,2010-10-27 09:52:00,1,249.24,44,3,1,1,311,New Customer
12567,2010-12-07 10:36:00,7,4308.58,3,4,4,4,444,Champion
12568,2010-03-05 09:15:00,1,70.0,280,1,1,1,111,Lost
12570,2010-01-26 17:28:00,1,77.52,318,1,1,1,111,Lost
12573,2010-11-23 13:01:00,4,556.87,17,4,3,2,432,Loyal
12575,2010-09-08 13:09:00,2,622.82,93,2,2,2,222,Potential Loyalist
12576,2010-11-12 12:44:00,3,826.89,28,3,3,3,333,Champion
12577,2010-11-23 14:06:00,5,995.9499999999999,17,4,3,3,433,Champion
12578,2010-11-19 17:21:00,2,1847.94,21,3,2,4,324,Loyal
12580,2010-05-12 11:45:00,1,637.2,212,1,1,2,112,Lost
12582,2010-10-13 10:52:00,2,1469.04,58,2,2,3,223,Potential Loyalist
12583,2010-12-01 08:45:00,13,7166.0599999999995,9,4,4,4,444,Champion
12586,2010-11-30 10:47:00,3,1865.73,10,4,3,4,434,Champion
12588,2010-11-05 12:53:00,3,743.88,35,3,3,3,333,Champion
12589,2010-10-14 11:54:00,6,4048.98,57,2,4,4,244,Potential Loyalist
12591,2010-11-14 14:32:00,2,899.3,26,3,2,3,323,Loyal
12592,2010-07-08 14:26:00,3,2145.06,155,1,3,4,134,Lost
12594,2010-11-26 12:17:00,5,1751.89,14,4,3,4,434,Champion
12595,2010-07-23 09:10:00,1,299.02,140,1,1,1,111,Lost
12598,2010-09-02 14:22:00,3,1511.01,99,2,3,3,233,Potential Loyalist
12599,2010-11-23 15:49:00,6,1264.14,17,4,4,3,443,Champion
12600,2010-12-03 12:57:00,12,2444.88,7,4,4,4,444,Champion
12601,2010-10-31 10:57:00,1,104.2,40,3,1,1,311,New Customer
12605,2010-11-28 14:18:00,4,1232.95,12,4,3,3,433,Champion
12606,2010-01-26 16:23:00,1,21.0,318,1,1,1,111,Lost
12608,2010-10-31 10:49:00,1,415.79,40,3,1,2,312,New Customer
12609,2010-11-30 14:48:00,6,2309.01,10,4,4,4,444,Champion
12613,2010-11-16 17:17:00,5,3490.69,24,3,3,4,334,Champion
12615,2010-10-22 09:45:00,4,3449.79,49,3,3,4,334,Champion
12616,2010-11-16 11:38:00,1,417.8,24,3,1,2,312,New Customer
12619,2010-05-28 12:52:00,1,140.14,196,1,1,1,111,Lost
12621,2010-12-09 10:16:00,16,11086.14,1,4,4,4,444,Champion
12623,2010-10-19 09:35:00,6,3442.7400000000002,52,3,4,4,344,Champion
12625,2010-07-18 15:56:00,2,2481.06,145,1,2,4,124,Lost
12629,2010-11-19 09:18:00,2,1558.22,21,3,2,3,323,Loyal
12631,2010-09-09 14:50:00,5,2841.07,92,2,3,4,234,Potential Loyalist
12632,2010-07-07 09:39:00,2,804.88,156,1,2,3,123,Lost
12633,2010-11-22 13:09:00,3,3514.18,18,4,3,4,434,Champion
12634,2010-06-22 10:05:00,2,490.0,171,1,2,2,122,Lost
12635,2010-11-12 15:46:00,2,1241.23,28,3,2,3,323,Loyal
12636,2009-12-01 09:55:00,1,141.0,374,1,1,1,111,Lost
12637,2010-11-26 13:50:00,4,2318.41,14,4,3,4,434,Champion
12638,2010-03-10 10:30:00,1,249.8,275,1,1,1,111,Lost
12639,2010-10-01 12:17:00,2,826.27,70,2,2,3,223,Potential Loyalist
12643,2010-11-19 12:42:00,6,5005.78,21,3,4,4,344,Champion
12644,2010-10-05 10:23:00,3,1440.58,66,2,3,3,233,Potential Loyalist
12645,2010-10-26 18:44:00,4,1764.12,45,3,3,4,334,Champion
12647,2010-12-07 12:28:00,27,14201.53,3,4,4,4,444,Champion
12648,2010-09-28 10:35:00,3,793.95,73,2,3,3,233,Potential Loyalist
12649,2010-11-22 12:57:00,5,1671.1399999999999,18,4,3,3,433,Champion
12651,2010-11-26 11:58:00,3,263.75,14,4,3,1,431,Loyal
12652,2010-10-01 15:16:00,1,97.05000000000001,70,2,1,1,211,At Risk
12653,2010-07-01 09:56:00,1,1950.98,162,1,1,4,114,Lost
12655,2010-10-12 09:17:00,1,261.35,59,2,1,1,211,At Risk
12656,2010-10-10 10:43:00,3,2356.66,61,2,3,4,234,Potential Loyalist
12661,2010-09-29 16:46:00,1,162.0,72,2,1,1,211,At Risk
12662,2010-12-01 13:04:00,10,3138.2400000000002,9,4,4,4,444,Champion
12663,2010-03-25 09:40:00,2,239.4,260,1,2,1,121,Lost
12664,2010-07-13 13:28:00,2,1188.16,150,1,2,3,123,Lost
12665,2010-10-18 11:34:00,2,250.6,53,3,2,1,321,Loyal
12666,2010-11-10 16:40:00,1,1248.42,30,3,1,3,313,New Customer
12668,2010-11-26 11:48:00,6,7637.53,14,4,4,4,444,Champion
12670,2010-11-19 10:05:00,2,764.24,21,3,2,3,323,Loyal
12671,2010-04-12 16:30:00,1,2622.481,242,1,1,4,114,Lost
12672,2010-04-23 09:57:00,1,211.15,231,1,1,1,111,Lost
12673,2010-11-03 10:46:00,1,619.5,37,3,1,2,312,New Customer
12675,2010-06-04 09:49:00,2,958.5,189,1,2,3,123,Lost
12676,2010-10-27 09:36:00,5,1511.7,44,3,3,3,333,Champion
12677,2010-06-02 14:30:00,2,395.1,191,1,2,2,122,Lost
12678,2010-11-29 09:55:00,9,16652.72,11,4,4,4,444,Champion
12681,2010-12-07 10:08:00,24,17080.74,3,4,4,4,444,Champion
12682,2010-12-09 14:49:00,23,11745.69,1,4,4,4,444,Champion
12683,2010-12-09 12:17:00,8,4220.21,1,4,4,4,444,Champion
12686,2010-12-03 09:51:00,1,89.14,7,4,1,1,411,New Customer
12687,2010-08-16 12:12:00,2,2138.91,116,2,2,4,224,Potential Loyalist
12691,2010-10-15 12:00:00,1,134.6,56,2,1,1,211,At Risk
12692,2010-03-12 14:02:00,1,110.95,273,1,1,1,111,Lost
12693,2010-11-08 14:57:00,3,847.11,32,3,3,3,333,Champion
12694,2010-10-14 19:39:00,1,973.68,57,2,1,3,213,At Risk
12695,2010-06-29 16:12:00,3,825.02,164,1,3,3,133,Lost
12696,2010-10-01 10:43:00,2,851.91,70,2,2,3,223,Potential Loyalist
12698,2010-04-28 15:51:00,1,339.75,226,1,1,2,112,Lost
12699,2010-10-18 12:07:00,1,638.11,53,3,1,2,312,New Customer
12701,2010-06-28 13:44:00,4,1648.7,165,1,3,3,133,Lost
12703,2010-03-16 13:22:00,3,722.98,269,1,3,3,133,Lost
12705,2010-11-21 13:59:00,5,4893.81,19,3,3,4,334,Champion
12708,2010-12-06 10:43:00,9,2601.19,4,4,4,4,444,Champion
12709,2010-12-08 09:49:00,20,21356.82,2,4,4,4,444,Champion
12711,2010-04-07 11:59:00,2,1339.05,247,1,2,3,123,Lost
12712,2010-12-09 11:39:00,10,2797.53,1,4,4,4,444,Champion
12714,2010-11-16 18:10:00,7,9384.85,24,3,4,4,344,Champion
12717,2010-04-28 14:34:00,1,277.93,226,1,1,1,111,Lost
12720,2010-12-05 15:21:00,6,2478.94,5,4,4,4,444,Champion
12721,2010-11-19 15:13:00,2,1356.95,21,3,2,3,323,Loyal
12724,2010-11-21 13:26:00,3,1286.11,19,3,3,3,333,Champion
12725,2010-12-03 15:45:00,4,2266.76,7,4,3,4,434,Champion
12726,2010-11-17 16:59:00,4,1405.5,23,3,3,3,333,Champion
12727,2010-09-23 10:45:00,3,1698.8300000000002,78,2,3,3,233,Potential Loyalist
12728,2010-11-21 11:34:00,1,233.84,19,3,1,1,311,New Customer
12730,2010-07-06 12:19:00,1,829.25,157,1,1,3,113,Lost
12731,2010-09-23 15:12:00,5,6879.8,78,2,3,4,234,Potential Loyalist
12733,2010-11-15 13:56:00,3,2040.92,25,3,3,4,334,Champion
12734,2010-11-30 11:05:00,2,529.25,10,4,2,2,422,Loyal
12737,2010-07-29 12:29:00,2,3710.5,134,2,2,4,224,Potential Loyalist
12738,2010-12-02 18:27:00,1,155.35,8,4,1,1,411,New Customer
12739,2010-11-19 09:42:00,2,1713.69,21,3,2,3,323,Loyal
12741,2010-06-28 14:36:00,2,406.07,165,1,2,2,122,Lost
12742,2010-03-24 12:43:00,1,1201.52,261,1,1,3,113,Lost
12744,2010-09-06 10:24:00,4,4037.77,95,2,3,4,234,Potential Loyalist
12745,2010-08-10 10:14:00,3,925.41,122,2,3,3,233,Potential Loyalist
12746,2010-06-17 10:41:00,1,254.55,176,1,1,1,111,Lost
12747,2010-12-05 15:38:00,16,5080.53,5,4,4,4,444,Champion
12748,2010-12-09 13:22:00,144,22879.66,1,4,4,4,444,Champion
12749,2010-11-05 13:56:00,4,2806.48,35,3,3,4,334,Champion
12751,2010-09-21 12:49:00,1,268.27,80,2,1,1,211,At Risk
12755,2010-12-09 10:44:00,10,5218.71,1,4,4,4,444,Champion
12758,2010-09-06 13:02:00,5,7111.650000000001,95,2,3,4,234,Potential Loyalist
12759,2010-11-18 19:14:00,5,3489.3,22,3,3,4,334,Champion
12760,2010-09-10 08:50:00,1,347.8,91,2,1,2,212,At Risk
12761,2010-09-08 12:17:00,2,782.95,93,2,2,3,223,Potential Loyalist
12763,2010-12-05 15:46:00,1,320.08,5,4,1,2,412,New Customer
12765,2010-08-24 13:51:00,6,1404.58,108,2,4,3,243,Potential Loyalist
12766,2010-12-08 13:53:00,3,3078.65,2,4,3,4,434,Champion
12767,2010-11-29 09:38:00,1,949.82,11,4,1,3,413,New Customer
12768,2010-09-15 12:08:00,1,168.69,86,2,1,1,211,At Risk
12770,2010-09-09 11:43:00,1,1895.0,92,2,1,4,214,At Risk
12771,2010-08-11 11:51:00,1,282.3,121,2,1,1,211,At Risk
12773,2010-05-24 17:30:00,1,124.25,200,1,1,1,111,Lost
12774,2010-06-22 10:38:00,1,98.7,171,1,1,1,111,Lost
12775,2010-11-16 15:14:00,2,300.08000000000004,24,3,2,1,321,Loyal
12776,2010-02-10 12:11:00,1,55.5,303,1,1,1,111,Lost
12777,2010-09-08 11:35:00,1,519.45,93,2,1,2,212,At Risk
12778,2010-11-08 10:51:00,3,953.4499999999999,32,3,3,3,333,Champion
12779,2010-12-03 13:40:00,7,2740.91,7,4,4,4,444,Champion
12780,2010-04-20 09:40:00,1,337.4,234,1,1,2,112,Lost
12782,2010-11-30 11:37:00,6,2287.32,10,4,4,4,444,Champion
12784,2010-06-28 13:06:00,1,1230.33,165,1,1,3,113,Lost
12785,2010-06-22 12:16:00,2,788.45,171,1,2,3,123,Lost
12786,2010-04-09 12:12:00,1,728.5,245,1,1,3,113,Lost
12787,2010-10-22 14:57:00,1,398.52,49,3,1,2,312,New Customer
12788,2010-09-02 14:21:00,4,444.90000000000003,99,2,3,2,232,Potential Loyalist
12789,2010-07-15 12:43:00,2,181.5,148,1,2,1,121,Lost
12790,2010-10-25 13:04:00,1,266.93,46,3,1,1,311,New Customer
12791,2010-12-01 11:27:00,6,863.51,9,4,4,3,443,Champion
12792,2010-06-23 10:49:00,1,426.47,170,1,1,2,112,Lost
12793,2010-12-03 15:14:00,2,471.85,7,4,2,2,422,Loyal
12796,2010-03-21 15:49:00,1,381.0,264,1,1,2,112,Lost
12797,2010-12-09 10:55:00,2,552.08,1,4,2,2,422,Loyal
12798,2010-10-14 12:27:00,1,1533.89,57,2,1,3,213,At Risk
12799,2010-06-28 15:57:00,1,219.35,165,1,1,1,111,Lost
12800,2010-08-26 14:11:00,3,584.25,106,2,3,2,232,Potential Loyalist
12801,2010-07-27 09:38:00,1,1071.82,136,2,1,3,213,At Risk
12802,2010-09-23 10:23:00,6,1988.84,78,2,4,4,244,Potential Loyalist
12803,2010-11-11 14:57:00,1,1092.81,29,3,1,3,313,New Customer
12804,2010-08-31 11:58:00,2,327.02,101,2,2,2,222,Potential Loyalist
12805,2010-11-23 12:27:00,4,1434.95,17,4,3,3,433,Champion
12806,2010-09-30 13:34:00,4,2878.96,71,2,3,4,234,Potential Loyalist
12807,2010-11-21 14:21:00,1,330.34999999999997,19,3,1,2,312,New Customer
12808,2010-12-06 10:27:00,3,422.45,4,4,3,2,432,Loyal
12809,2010-05-23 11:08:00,2,1266.63,201,1,2,3,123,Lost
12810,2010-06-23 10:53:00,2,534.99,170,1,2,2,122,Lost
12811,2010-11-26 09:49:00,2,519.0500000000001,14,4,2,2,422,Loyal
12813,2010-07-26 09:50:00,3,1687.8,137,1,3,3,133,Lost
12817,2010-11-05 08:28:00,2,524.94,35,3,2,2,322,Loyal
12819,2010-09-07 15:20:00,1,540.52,94,2,1,2,212,At Risk
12820,2010-11-07 14:26:00,7,1747.18,33,3,4,4,344,Champion
12821,2010-04-07 15:14:00,1,128.07999999999998,247,1,1,1,111,Lost
12823,2010-11-10 12:22:00,13,4742.0,30,3,4,4,344,Champion
12825,2010-07-06 13:56:00,2,518.63,157,1,2,2,122,Lost
12826,2010-12-09 15:21:00,6,1481.03,1,4,4,3,443,Champion
12829,2010-06-07 15:04:00,1,92.3,186,1,1,1,111,Lost
12831,2010-09-02 16:00:00,2,236.06,99,2,2,1,221,Potential Loyalist
12835,2010-10-08 10:59:00,41,6043.31,63,2,4,4,244,Potential Loyalist
12836,2010-11-15 16:22:00,11,3972.76,25,3,4,4,344,Champion
12837,2010-05-19 15:10:00,1,554.31,205,1,1,2,112,Lost
12838,2010-12-01 11:57:00,9,2715.35,9,4,4,4,444,Champion
12839,2010-12-07 15:48:00,13,4480.31,3,4,4,4,444,Champion
12840,2010-09-28 17:58:00,3,1315.2,73,2,3,3,233,Potential Loyalist
12841,2010-12-05 12:15:00,17,3518.33,5,4,4,4,444,Champion
12842,2010-10-31 10:45:00,2,799.0,40,3,2,3,323,Loyal
12843,2010-11-22 13:31:00,22,4886.15,18,4,4,4,444,Champion
12844,2010-09-23 16:23:00,2,322.64,78,2,2,2,222,Potential Loyalist
12846,2010-01-26 16:29:00,1,15.58,318,1,1,1,111,Lost
12847,2010-11-17 12:44:00,1,765.36,23,3,1,3,313,New Customer
12848,2010-02-02 12:45:00,1,208.0,311,1,1,1,111,Lost
12849,2010-11-23 11:41:00,4,2039.67,17,4,3,4,434,Champion
12850,2010-09-20 12:26:00,1,330.0,81,2,1,2,212,At Risk
12851,2010-08-19 15:13:00,1,148.95,113,2,1,1,211,At Risk
12853,2010-10-08 14:51:00,5,1950.4,63,2,3,4,234,Potential Loyalist
12854,2010-05-27 16:54:00,4,1669.52,197,1,3,3,133,Lost
12855,2010-12-02 09:37:00,4,612.84,8,4,3,2,432,Loyal
12857,2010-09-29 16:49:00,4,2581.6,72,2,3,4,234,Potential Loyalist
12858,2010-11-21 12:55:00,1,177.92,19,3,1,1,311,New Customer
12859,2010-09-07 12:20:00,1,575.1,94,2,1,2,212,At Risk
12860,2010-01-15 15:22:00,1,55.47,329,1,1,1,111,Lost
12861,2010-03-30 11:39:00,1,68.25,255,1,1,1,111,Lost
12862,2010-10-10 11:47:00,2,1008.3199999999999,61,2,2,3,223,Potential Loyalist
12863,2010-11-25 17:47:00,5,2271.35,15,4,3,4,434,Champion
12864,2010-07-19 17:22:00,1,152.45,144,1,1,1,111,Lost
12865,2010-11-26 15:37:00,2,1755.24,14,4,2,4,424,Loyal
12866,2010-08-22 15:48:00,2,668.23,110,2,2,2,222,Potential Loyalist
12867,2010-11-07 15:31:00,6,3876.47,33,3,4,4,344,Champion
12868,2010-12-01 12:50:00,3,640.0,9,4,3,2,432,Loyal
12869,2010-01-27 12:10:00,1,337.66999999999996,317,1,1,2,112,Lost
12870,2010-11-29 13:42:00,3,1676.95,11,4,3,3,433,Champion
12871,2010-09-26 10:34:00,1,363.38,75,2,1,2,212,At Risk
12872,2010-12-09 14:44:00,11,3085.52,1,4,4,4,444,Champion
12873,2010-11-07 11:15:00,2,1653.3,33,3,2,3,323,Loyal
12874,2010-11-19 15:23:00,2,948.42,21,3,2,3,323,Loyal
12875,2010-08-25 14:35:00,3,1013.7600000000001,107,2,3,3,233,Potential Loyalist
12876,2010-11-10 12:21:00,2,1863.77,30,3,2,4,324,Loyal
12877,2010-11-03 13:53:00,8,1419.4,37,3,4,3,343,Champion
12880,2010-11-23 10:50:00,2,640.13,17,4,2,2,422,Loyal
12887,2010-11-21 11:18:00,1,222.4,19,3,1,1,311,New Customer
12889,2010-11-23 16:08:00,4,385.46000000000004,17,4,3,2,432,Loyal
12890,2010-11-17 14:06:00,1,336.8,23,3,1,2,312,New Customer
12891,2010-09-07 15:31:00,8,509.5,94,2,4,2,242,Potential Loyalist
12892,2010-11-08 09:51:00,1,263.38,32,3,1,1,311,New Customer
12894,2010-05-13 14:47:00,1,157.35,211,1,1,1,111,Lost
12897,2010-11-23 13:29:00,2,297.75,17,4,2,1,421,Loyal
12898,2010-09-02 08:08:00,2,310.96,99,2,2,2,222,Potential Loyalist
12899,2010-10-22 09:53:00,1,366.4,49,3,1,2,312,New Customer
12900,2010-10-13 15:17:00,1,340.33000000000004,58,2,1,2,212,At Risk
12903,2010-10-07 12:39:00,1,833.5300000000001,64,2,1,3,213,At Risk
12905,2010-05-12 10:05:00,2,1018.42,212,1,2,3,123,Lost
12907,2010-11-09 12:08:00,2,508.91,31,3,2,2,322,Loyal
12908,2010-11-24 09:29:00,3,1026.0,16,4,3,3,433,Champion
12909,2010-10-11 09:44:00,3,924.52,60,2,3,3,233,Potential Loyalist
